what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1395455794125
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1395455794171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455797375
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455798218
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1395455798234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1395455798234
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455802843
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455807671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1395455807703
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455810343
error,log,,,"找不到目录内容扩展（使用triggerPoints）为对象的{0}父路径：‘P/Servers’。请检查表达这个对象的navigatorContent triggerPoints是否启动。",1395455818796
error,log,,,"找不到目录内容扩展（使用triggerPoints）为对象的{0}父路径：‘P/Servers’。请检查表达这个对象的navigatorContent triggerPoints是否启动。",1395455818812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455819343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1395455819375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1395455821281
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1395455822468
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1395455824500
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1395455825640
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1395455827593
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1395455827640
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1395455833500
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1395455833500
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1395455834734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455841640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455842875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455842984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455843984
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1395455848312
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1395455848359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455868296
started,bundle,org.eclipse.wst.ws.ui,1.1.200.v201004211805,"org.eclipse.wst.ws.ui",1395455870546
started,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1395455871796
started,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1395455871828
started,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1395455871843
started,bundle,org.eclipse.jst.ws.consumption.ui,1.1.401.v201108240414,"org.eclipse.jst.ws.consumption.ui",1395455872265
started,bundle,org.eclipse.jst.ws.consumption,1.0.601.v201108230319,"org.eclipse.jst.ws.consumption",1395455872343
started,bundle,org.eclipse.wst.wsdl.ui,1.2.403.v201108240515,"org.eclipse.wst.wsdl.ui",1395455875000
started,bundle,org.eclipse.jst.ws,1.0.509.v201108250610,"org.eclipse.jst.ws",1395455875781
started,bundle,org.eclipse.wst.common.environment,1.0.400.v200912181832,"org.eclipse.wst.common.environment",1395455875796
started,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1395455876468
started,bundle,org.eclipse.wst.command.env.ui,1.1.103.v201102260635,"org.eclipse.wst.command.env.ui",1395455876500
started,bundle,org.eclipse.jst.ws.cxf.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.cxf.ui",1395455881593
started,bundle,org.eclipse.jst.ws.cxf.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.core",1395455881609
started,bundle,org.eclipse.jst.ws.annotations.core,1.1.0.v201104031139,"org.eclipse.jst.ws.annotations.core",1395455881656
started,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1395455882250
started,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1395455882281
started,bundle,org.eclipse.wst.internet.monitor.core,1.0.505.v20110419,"org.eclipse.wst.internet.monitor.core",1395455887578
started,bundle,org.eclipse.wst.internet.monitor.ui,1.0.507.v20110817_1651,"org.eclipse.wst.internet.monitor.ui",1395455887593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455906734
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1395455906781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455910015
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455947203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455949500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455950906
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1395455950921
started,bundle,org.eclipse.wst.wsdl,1.2.202.v201108230355,"org.eclipse.wst.wsdl",1395455956328
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1395455956343
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1395455956343
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455957296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455958234
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455958750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455964453
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1395455965875
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1395455969234
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1395455969296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455970562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455971843
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455972250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455976000
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1395455978078
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1395455978843
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1395455978906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455980468
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455981421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395455982734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395456015359
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1395456017828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1395456021015
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395456022781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395456024296
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1395456024406
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1395456027000
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395456027593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395456029203
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1395456030234
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395456031562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395456032671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395456034468
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395456053046
