what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1395457425421
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1395457427406
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1395457427484
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1395457455718
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1395457460640
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1395457498718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395457500390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395457937609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395457940640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395457940656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395457940718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395457947546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395457950296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395457950312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395457953640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395457970046
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1395457979984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395457980468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1395457981078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395457981796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.rename",1395457981828
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1395457984000
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1395457989453
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1395457992609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395457994359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395457994359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395457994437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458010984
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1395458015984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458018046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458019625
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1395458019671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458021265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458056578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458060640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458066406
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1395458068000
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1395458068078
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1395458089468
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1395458096640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458111750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458116609
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1395458118015
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1395458119265
closed,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1395458119265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458119859
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458119859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458119953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458127171
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1395458127203
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1395458128328
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1395458128390
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1395458141687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458143046
